species,decimalLatitude,decimalLongitude,eventDate,geometry
Trichorhina tomentosa,51.0349,3.7233,2026-03-18,POINT (3.7233 51.0349)
Trichorhina tomentosa,55.859225,-4.158442,,POINT (-4.158442 55.859225)
Trichorhina tomentosa,55.856321,-4.318068,,POINT (-4.318068 55.856321)
Trichorhina tomentosa,57.69551,11.98929,2025-12-28,POINT (11.98929 57.69551)
Trichorhina tomentosa,55.638419,12.656337,2025-12-21T19:03,POINT (12.656337 55.638419)
Trichorhina tomentosa,-30.064822,-51.157837,2023-11-01T13:47:45,POINT (-51.157837 -30.064822)
Trichorhina tomentosa,56.09383,12.65128,2025-11-07T14:37,POINT (12.65128 56.09383)
Trichorhina tomentosa,9.41588,-82.3294,2024-08-10,POINT (-82.3294 9.41588)
Trichorhina tomentosa,9.41588,-82.3294,2024-08-10,POINT (-82.3294 9.41588)
Trichorhina tomentosa,10.763,-85.334,2015-07-30,POINT (-85.334 10.763)
Trichorhina tomentosa,10.764,-85.333,2017-12-28,POINT (-85.333 10.764)
Trichorhina tomentosa,10.763,-85.334,2017-12-28,POINT (-85.334 10.763)
Trichorhina tomentosa,10.761,-85.335,2017-12-28,POINT (-85.335 10.761)
Trichorhina tomentosa,10.763,-85.334,2017-12-28,POINT (-85.334 10.763)
Trichorhina tomentosa,51.00188,4.51314,2025-03-22,POINT (4.51314 51.00188)
Trichorhina tomentosa,57.69549,11.98932,2025-01-06,POINT (11.98932 57.69549)
Trichorhina tomentosa,57.70563,11.97593,2024-12-14,POINT (11.97593 57.70563)
Trichorhina tomentosa,25.785589,-80.224568,2024-09-21T07:37,POINT (-80.224568 25.785589)
Trichorhina tomentosa,25.785429,-80.224625,2024-09-21T07:41,POINT (-80.224625 25.785429)
Trichorhina tomentosa,25.785429,-80.224625,2024-09-21T07:59,POINT (-80.224625 25.785429)
Trichorhina tomentosa,26.142386,-80.244769,2024-12-10T13:18,POINT (-80.244769 26.142386)
Trichorhina tomentosa,50.63505,5.56229,2024-10-31,POINT (5.56229 50.63505)
Trichorhina tomentosa,52.510233,13.336585,2024-09-21T13:06,POINT (13.336585 52.510233)
Trichorhina tomentosa,52.510233,13.336585,2024-09-21T12:42,POINT (13.336585 52.510233)
Trichorhina tomentosa,52.510233,13.336585,2024-09-21T12:28,POINT (13.336585 52.510233)
Trichorhina tomentosa,52.510233,13.336585,2024-09-21T12:19,POINT (13.336585 52.510233)
Trichorhina tomentosa,52.510233,13.336585,2024-09-21T12:18,POINT (13.336585 52.510233)
Trichorhina tomentosa,52.510233,13.336585,2024-09-21T12:47,POINT (13.336585 52.510233)
Trichorhina tomentosa,25.127731,-80.408767,2024-01-12T12:12:26,POINT (-80.408767 25.127731)
Trichorhina tomentosa,25.190079,-80.502451,2024-01-12T10:00,POINT (-80.502451 25.190079)
Trichorhina tomentosa,24.612234,-81.213634,2024-08-10T07:09,POINT (-81.213634 24.612234)
Trichorhina tomentosa,24.722821,-81.224737,2024-08-05T03:02,POINT (-81.224737 24.722821)
Trichorhina tomentosa,24.711086,-81.3025,2024-08-05T01:39,POINT (-81.3025 24.711086)
Trichorhina tomentosa,25.1404,-80.925266,2024-03-24T11:35,POINT (-80.925266 25.1404)
Trichorhina tomentosa,25.140395,-80.925258,2024-03-24T11:35,POINT (-80.925258 25.140395)
Trichorhina tomentosa,48.47435,21.46437,2018-09-30T00:00Z,POINT (21.46437 48.47435)
Trichorhina tomentosa,50.63482,5.56224,2024-03-28,POINT (5.56224 50.63482)
Trichorhina tomentosa,26.039537,-80.298952,2024-05-11T13:57:21,POINT (-80.298952 26.039537)
Trichorhina tomentosa,57.69556,11.98936,2024-04-09,POINT (11.98936 57.69556)
Trichorhina tomentosa,25.173113,-80.373479,2024-03-28T10:00,POINT (-80.373479 25.173113)
Trichorhina tomentosa,57.70556,11.97577,2024-04-04,POINT (11.97577 57.70556)
Trichorhina tomentosa,25.725667,-80.399503,2024-03-04T17:14,POINT (-80.399503 25.725667)
Trichorhina tomentosa,16.19761,-61.5398,,POINT (-61.5398 16.19761)
Trichorhina tomentosa,-21.13317,55.53241,,POINT (55.53241 -21.13317)
Trichorhina tomentosa,30.438083,-84.280623,2023-12-05T16:19:57,POINT (-84.280623 30.438083)
Trichorhina tomentosa,57.69561,11.98919,2024-02-03,POINT (11.98919 57.69561)
Trichorhina tomentosa,19.277637,-81.308403,2023-12-07T16:05,POINT (-81.308403 19.277637)
Trichorhina tomentosa,19.277637,-81.308403,2023-12-07T16:01,POINT (-81.308403 19.277637)
Trichorhina tomentosa,29.724003,-82.376998,2023-12-04T20:02,POINT (-82.376998 29.724003)
Trichorhina tomentosa,55.70476,13.20323,1981-11-18,POINT (13.20323 55.70476)
Trichorhina tomentosa,-30.029115,-51.199491,2023-06-23T16:25:59,POINT (-51.199491 -30.029115)
Trichorhina tomentosa,43.026433,-87.94595,1997-01-03,POINT (-87.94595 43.026433)
Trichorhina tomentosa,55.763912,37.58219,2023-04-16T14:43:45,POINT (37.58219 55.763912)
Trichorhina tomentosa,55.763932,37.582211,2023-04-16T15:24,POINT (37.582211 55.763932)
Trichorhina tomentosa,51.150305,14.926473,,POINT (14.926473 51.150305)
Trichorhina tomentosa,57.69551,11.98929,2023-03-11,POINT (11.98929 57.69551)
Trichorhina tomentosa,60.175359,24.946171,2022-11-20T22:00Z,POINT (24.946171 60.175359)
Trichorhina tomentosa,60.175359,24.946171,2022-11-20T22:00Z,POINT (24.946171 60.175359)
Trichorhina tomentosa,60.175359,24.946171,2022-11-20T22:00Z,POINT (24.946171 60.175359)
Trichorhina tomentosa,60.175359,24.946171,2022-11-20T22:00Z,POINT (24.946171 60.175359)
Trichorhina tomentosa,60.175359,24.946171,2022-11-20T22:00Z,POINT (24.946171 60.175359)
Trichorhina tomentosa,60.175359,24.946171,2022-11-20T22:00Z,POINT (24.946171 60.175359)
Trichorhina tomentosa,43.66887,7.21914,2011-01-01/2014-12-31,POINT (7.21914 43.66887)
Trichorhina tomentosa,57.70563,11.97593,2023-02-25,POINT (11.97593 57.70563)
Trichorhina tomentosa,60.175341,24.946134,2022-11-21T00:00Z,POINT (24.946134 60.175341)
Trichorhina tomentosa,57.69561,11.98919,2023-02-10,POINT (11.98919 57.69561)
Trichorhina tomentosa,26.011089,-80.149385,1963-09-12,POINT (-80.149385 26.011089)
Trichorhina tomentosa,27.12385,-81.36607,1850,POINT (-81.36607 27.12385)
Trichorhina tomentosa,-21.13317,55.53241,,POINT (55.53241 -21.13317)
Trichorhina tomentosa,16.19759,-61.53977,,POINT (-61.53977 16.19759)
Trichorhina tomentosa,57.705745,11.976153,2022-08-31T10:11:01,POINT (11.976153 57.705745)
Trichorhina tomentosa,16.19759,-61.53977,,POINT (-61.53977 16.19759)
Trichorhina tomentosa,50.92514,4.33023,2022-05-21,POINT (4.33023 50.92514)
Trichorhina tomentosa,32.292608,-64.787198,2022-04-05T10:55,POINT (-64.787198 32.292608)
Trichorhina tomentosa,32.262312,-64.866541,2022-04-01T16:06,POINT (-64.866541 32.262312)
Trichorhina tomentosa,32.262312,-64.866541,2022-04-01T15:58,POINT (-64.866541 32.262312)
Trichorhina tomentosa,56.456999,10.031892,2022-03-17T12:00,POINT (10.031892 56.456999)
Trichorhina tomentosa,48.85662,2.34293,1896-01-01/1896-12-31,POINT (2.34293 48.85662)
Trichorhina tomentosa,48.85662,2.34293,1899-01-01/1899-12-31,POINT (2.34293 48.85662)
Trichorhina tomentosa,10.763,-85.334,2020-07-02,POINT (-85.334 10.763)
Trichorhina tomentosa,-10.721333,165.928517,,POINT (165.928517 -10.721333)
Trichorhina tomentosa,-19.0845,-169.829467,,POINT (-169.829467 -19.0845)
