gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
920117266	f02240a8-f206-467b-a379-fdce36beb808	97734	Animalia	Arthropoda	Collembola	Entomobryomorpha	Isotomidae	Folsomia	Folsomia candida		SPECIES	Folsomia candida V.Willem, 1902	Folsomia candida		NL	proefveld_pd_onb_1		PRESENT	1	2498d55c-dcd2-4caf-abb7-14f2ffe05c37	51.970641	5.641871	1000.0						1986-10-31	31	10	1986	2120383	2120383	HUMAN_OBSERVATION	WUR-Alterra	insects-siepel-historisch	97734				CC_BY_NC_4_0					2026-03-03T19:34:04.452Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
920117240	f02240a8-f206-467b-a379-fdce36beb808	97733	Animalia	Arthropoda	Collembola	Entomobryomorpha	Isotomidae	Folsomia	Folsomia candida		SPECIES	Folsomia candida V.Willem, 1902	Folsomia candida		NL	proefveld_pd_DDT_2		PRESENT	20	2498d55c-dcd2-4caf-abb7-14f2ffe05c37	51.970641	5.641871	1000.0						1986-10-31	31	10	1986	2120383	2120383	HUMAN_OBSERVATION	WUR-Alterra	insects-siepel-historisch	97733				CC_BY_NC_4_0					2026-03-03T19:34:04.452Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
920117215	f02240a8-f206-467b-a379-fdce36beb808	97732	Animalia	Arthropoda	Collembola	Entomobryomorpha	Isotomidae	Folsomia	Folsomia candida		SPECIES	Folsomia candida V.Willem, 1902	Folsomia candida		NL	proefveld_pd_DDT_1		PRESENT	20	2498d55c-dcd2-4caf-abb7-14f2ffe05c37	51.970641	5.641871	1000.0						1986-10-31	31	10	1986	2120383	2120383	HUMAN_OBSERVATION	WUR-Alterra	insects-siepel-historisch	97732				CC_BY_NC_4_0					2026-03-03T19:34:04.453Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
920117190	f02240a8-f206-467b-a379-fdce36beb808	97731	Animalia	Arthropoda	Collembola	Entomobryomorpha	Isotomidae	Folsomia	Folsomia candida		SPECIES	Folsomia candida V.Willem, 1902	Folsomia candida		NL	proefveld_pd_DDT_3		PRESENT	1	2498d55c-dcd2-4caf-abb7-14f2ffe05c37	51.970641	5.641871	1000.0						1986-10-31	31	10	1986	2120383	2120383	HUMAN_OBSERVATION	WUR-Alterra	insects-siepel-historisch	97731				CC_BY_NC_4_0					2026-03-03T19:34:04.453Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
920094047	30eca5bd-6a4f-46de-9e6f-d6ede90850dc	10251	Animalia	Arthropoda	Collembola	Entomobryomorpha	Isotomidae	Folsomia	Folsomia candida		SPECIES	Folsomia candida V.Willem, 1902	Folsomia candida		NL	Nutter		PRESENT	1	2498d55c-dcd2-4caf-abb7-14f2ffe05c37	52.410727	6.893704	1000.0						2000-05-30	30	5	2000	2120383	2120383	HUMAN_OBSERVATION	WUR-Alterra	insects-bodembiodiversiteit-indicator	10251				CC_BY_NC_4_0					2026-03-03T19:35:15.671Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
920093950	30eca5bd-6a4f-46de-9e6f-d6ede90850dc	10127	Animalia	Arthropoda	Collembola	Entomobryomorpha	Isotomidae	Folsomia	Folsomia candida		SPECIES	Folsomia candida V.Willem, 1902	Folsomia candida		NL	Bovenbuurt		PRESENT	8	2498d55c-dcd2-4caf-abb7-14f2ffe05c37	51.970641	5.641871	1000.0						2000-05-23	23	5	2000	2120383	2120383	HUMAN_OBSERVATION	WUR-Alterra	insects-bodembiodiversiteit-indicator	10127				CC_BY_NC_4_0					2026-03-03T19:35:15.556Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
920093717	30eca5bd-6a4f-46de-9e6f-d6ede90850dc	9909	Animalia	Arthropoda	Collembola	Entomobryomorpha	Isotomidae	Folsomia	Folsomia candida		SPECIES	Folsomia candida V.Willem, 1902	Folsomia candida		NL	Laren		PRESENT	31	2498d55c-dcd2-4caf-abb7-14f2ffe05c37	52.236422	6.375374	1000.0						2000-05-01	1	5	2000	2120383	2120383	HUMAN_OBSERVATION	WUR-Alterra	insects-bodembiodiversiteit-indicator	9909				CC_BY_NC_4_0					2026-03-03T19:35:17.664Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
911800545	6f709fbf-67c5-4ae0-afe9-e8bc3ad6e2dc	124096	Animalia	Arthropoda	Collembola	Entomobryomorpha	Isotomidae	Folsomia	Folsomia candida		SPECIES	Folsomia candida V.Willem, 1902	Folsomia candida		NL	Oosterhof_perceel 7		PRESENT	1	2498d55c-dcd2-4caf-abb7-14f2ffe05c37	53.182067	6.097721	1000.0						2004-09-08	8	9	2004	2120383	2120383	HUMAN_OBSERVATION	WUR-Alterra	insects-vel-vanla-mesttoediening	124096				CC_BY_NC_4_0					2026-03-03T19:35:31.511Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
6158743846	6ac3f774-d9fb-4796-b3e9-92bf6c81c084		Animalia	Arthropoda	Collembola	Entomobryomorpha	Isotomidae	Folsomia	Folsomia candida		SPECIES	Folsomia candida V.Willem, 1902	Folsomia candida		DE	Valwigerberg		PRESENT		bb646dff-a905-4403-a49b-6d378c2cf0d9	50.154827	7.196554	250.0						2026-02-09T00:00	9	2	2026	2120383	2120383	HUMAN_OBSERVATION	NABU|naturgucker	NABU|naturgucker	-2041009492				CC_BY_4_0		-339687917			2026-04-10T20:48:34.751Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
6148507776	b83f2b5c-1065-4909-b541-2421b3f6144a	bises:14728	Animalia	Arthropoda	Collembola	Entomobryomorpha	Isotomidae	Folsomia	Folsomia candida		SPECIES	Folsomia candida V.Willem, 1902	Folsomia candida		FR			ABSENT	0	96f1a0dc-22d6-443d-a47e-ddc6724c7719	43.614561	3.870939							2021-10-11/2021-10-22		10	2021	2120383	2120383	HUMAN_OBSERVATION	CEFE	Occurrences			Matthias Brand , Nicolas Henon		CC_BY_4_0		Jérôme Cortet			2026-02-16T09:09:30.991Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
