gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
92633894	85042096-f762-11e1-a439-00145eb45e9a		Plantae	Bryophyta	Bryopsida	Funariales	Funariaceae	Physcomitrium	Physcomitrium patens		SPECIES	Physcomitrella patens (Hedw.) Bruch & Schimp.	Physcomitrella patens (Hedw.) B.S.G.	(Hedw.) B.S.G. 1849	DE	Nordrhein-Westfalen, Baerl, Blaue Kull zwischen Baerl und Woltershof.	Duisburg	PRESENT		b459e790-0d3c-11d9-8431-b8a03c50a862					24.0				1991-10-27	27	10	1991	2674024	8179907	OCCURRENCE	IBUNAM	MEXUBR	18617		J.-P. Frahm		CC_BY_NC_4_0		J.-P. Frahm			2026-03-27T10:42:08.410Z		CONTINENT_DERIVED_FROM_COUNTRY;BASIS_OF_RECORD_INVALID
920117266	f02240a8-f206-467b-a379-fdce36beb808	97734	Animalia	Arthropoda	Collembola	Entomobryomorpha	Isotomidae	Folsomia	Folsomia candida		SPECIES	Folsomia candida V.Willem, 1902	Folsomia candida		NL	proefveld_pd_onb_1		PRESENT	1	2498d55c-dcd2-4caf-abb7-14f2ffe05c37	51.970641	5.641871	1000.0						1986-10-31	31	10	1986	2120383	2120383	HUMAN_OBSERVATION	WUR-Alterra	insects-siepel-historisch	97734				CC_BY_NC_4_0					2026-03-03T19:34:04.452Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
920117240	f02240a8-f206-467b-a379-fdce36beb808	97733	Animalia	Arthropoda	Collembola	Entomobryomorpha	Isotomidae	Folsomia	Folsomia candida		SPECIES	Folsomia candida V.Willem, 1902	Folsomia candida		NL	proefveld_pd_DDT_2		PRESENT	20	2498d55c-dcd2-4caf-abb7-14f2ffe05c37	51.970641	5.641871	1000.0						1986-10-31	31	10	1986	2120383	2120383	HUMAN_OBSERVATION	WUR-Alterra	insects-siepel-historisch	97733				CC_BY_NC_4_0					2026-03-03T19:34:04.452Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
920117215	f02240a8-f206-467b-a379-fdce36beb808	97732	Animalia	Arthropoda	Collembola	Entomobryomorpha	Isotomidae	Folsomia	Folsomia candida		SPECIES	Folsomia candida V.Willem, 1902	Folsomia candida		NL	proefveld_pd_DDT_1		PRESENT	20	2498d55c-dcd2-4caf-abb7-14f2ffe05c37	51.970641	5.641871	1000.0						1986-10-31	31	10	1986	2120383	2120383	HUMAN_OBSERVATION	WUR-Alterra	insects-siepel-historisch	97732				CC_BY_NC_4_0					2026-03-03T19:34:04.453Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
920117190	f02240a8-f206-467b-a379-fdce36beb808	97731	Animalia	Arthropoda	Collembola	Entomobryomorpha	Isotomidae	Folsomia	Folsomia candida		SPECIES	Folsomia candida V.Willem, 1902	Folsomia candida		NL	proefveld_pd_DDT_3		PRESENT	1	2498d55c-dcd2-4caf-abb7-14f2ffe05c37	51.970641	5.641871	1000.0						1986-10-31	31	10	1986	2120383	2120383	HUMAN_OBSERVATION	WUR-Alterra	insects-siepel-historisch	97731				CC_BY_NC_4_0					2026-03-03T19:34:04.453Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
920094047	30eca5bd-6a4f-46de-9e6f-d6ede90850dc	10251	Animalia	Arthropoda	Collembola	Entomobryomorpha	Isotomidae	Folsomia	Folsomia candida		SPECIES	Folsomia candida V.Willem, 1902	Folsomia candida		NL	Nutter		PRESENT	1	2498d55c-dcd2-4caf-abb7-14f2ffe05c37	52.410727	6.893704	1000.0						2000-05-30	30	5	2000	2120383	2120383	HUMAN_OBSERVATION	WUR-Alterra	insects-bodembiodiversiteit-indicator	10251				CC_BY_NC_4_0					2026-03-03T19:35:15.671Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
920093950	30eca5bd-6a4f-46de-9e6f-d6ede90850dc	10127	Animalia	Arthropoda	Collembola	Entomobryomorpha	Isotomidae	Folsomia	Folsomia candida		SPECIES	Folsomia candida V.Willem, 1902	Folsomia candida		NL	Bovenbuurt		PRESENT	8	2498d55c-dcd2-4caf-abb7-14f2ffe05c37	51.970641	5.641871	1000.0						2000-05-23	23	5	2000	2120383	2120383	HUMAN_OBSERVATION	WUR-Alterra	insects-bodembiodiversiteit-indicator	10127				CC_BY_NC_4_0					2026-03-03T19:35:15.556Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
920093717	30eca5bd-6a4f-46de-9e6f-d6ede90850dc	9909	Animalia	Arthropoda	Collembola	Entomobryomorpha	Isotomidae	Folsomia	Folsomia candida		SPECIES	Folsomia candida V.Willem, 1902	Folsomia candida		NL	Laren		PRESENT	31	2498d55c-dcd2-4caf-abb7-14f2ffe05c37	52.236422	6.375374	1000.0						2000-05-01	1	5	2000	2120383	2120383	HUMAN_OBSERVATION	WUR-Alterra	insects-bodembiodiversiteit-indicator	9909				CC_BY_NC_4_0					2026-03-03T19:35:17.664Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
911800545	6f709fbf-67c5-4ae0-afe9-e8bc3ad6e2dc	124096	Animalia	Arthropoda	Collembola	Entomobryomorpha	Isotomidae	Folsomia	Folsomia candida		SPECIES	Folsomia candida V.Willem, 1902	Folsomia candida		NL	Oosterhof_perceel 7		PRESENT	1	2498d55c-dcd2-4caf-abb7-14f2ffe05c37	53.182067	6.097721	1000.0						2004-09-08	8	9	2004	2120383	2120383	HUMAN_OBSERVATION	WUR-Alterra	insects-vel-vanla-mesttoediening	124096				CC_BY_NC_4_0					2026-03-03T19:35:31.511Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
864905732	85714c48-f762-11e1-a439-00145eb45e9a	https://herbarium.bgbm.org/object/B300061947	Plantae	Bryophyta	Bryopsida	Funariales	Funariaceae	Physcomitrium	Physcomitrium patens		SPECIES	Physcomitrella patens (Hedw.) Bruch & Schimp.	Physcomitrella patens (Hedw.) Bruch & Schimp.		IT	Italy.		PRESENT		57254bd0-8256-11d8-b7ed-b8a03c50a862													2674024	8179907	PRESERVED_SPECIMEN	B	Herbarium Berolinense	B 30 0061947				CC0_1_0					2026-03-30T19:46:48.325Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY
814316163	995b2ca4-9b4d-4609-acd5-24d8297f0a4b	http://coldb.mnhn.fr/catalognumber/mhnaix/aix/aix013133	Plantae	Bryophyta	Bryopsida	Funariales	Funariaceae	Physcomitrium	Physcomitrium patens		SPECIES	Physcomitrella patens (Hedw.) Bruch & Schimp.	Physcomitrella patens (Hedw.) Bruch & Schimp.	(Hedw.) Bruch & Schimp.				PRESENT		c2c3be16-01fe-4255-a8dd-cfcdf285d721													2674024	8179907	PRESERVED_SPECIMEN	MHNAIX	AIX	AIX013133				CC_BY_4_0					2025-11-25T14:35:48.234Z	StillImage	INSTITUTION_MATCH_NONE
80140192	427a6290-0c65-11dd-84d2-b8a03c50a862	MZLU:Evertebrata:L982/3892	Animalia	Arthropoda	Malacostraca	Isopoda	Platyarthridae	Trichorhina	Trichorhina tomentosa		SPECIES	Trichorhina tomentosa (Budde-Lund, 1893)	Trichorhina tomentosa (Budde-Lund, 1893)	(Budde-Lund, 1893)				PRESENT	3	c0758a16-296b-4ec3-97fd-8a057d9060f3									1982-01		1	1982	2204981	2204981	PRESERVED_SPECIMEN	MZLU	Evertebrata	L982/3892				CC_BY_NC_4_0					2026-03-29T23:17:12.181Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
788508253	aab0cf80-0c64-11dd-84d1-b8a03c50a862	LD:General:1264042	Plantae	Bryophyta	Bryopsida	Funariales	Funariaceae	Physcomitrium	Physcomitrium patens		SPECIES	Physcomitrella patens (Hedw.) Bruch & Schimp.	Physcomitrella patens		SE	No locality information available		PRESENT	1	c0758a16-296b-4ec3-97fd-8a057d9060f3	55.479392	13.985545							1936-04-10	10	4	1936	2674024	8179907	PRESERVED_SPECIMEN	LD	General	1264042				CC_BY_NC_4_0		Åke Hovgard			2026-03-29T23:27:59.126Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
788508179	aab0cf80-0c64-11dd-84d1-b8a03c50a862	LD:General:1263965	Plantae	Bryophyta	Bryopsida	Funariales	Funariaceae	Physcomitrium	Physcomitrium patens		SPECIES	Physcomitrella patens (Hedw.) Bruch & Schimp.	Physcomitrella patens		SE	Bollerup	Skåne	PRESENT	1	c0758a16-296b-4ec3-97fd-8a057d9060f3	55.492511	14.047174							1928-08-21	21	8	1928	2674024	8179907	PRESERVED_SPECIMEN	LD	General	1263965				CC_BY_NC_4_0		Åke Hovgard			2026-03-29T23:28:31.878Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
788508121	aab0cf80-0c64-11dd-84d1-b8a03c50a862	LD:General:1263905	Plantae	Bryophyta	Bryopsida	Funariales	Funariaceae	Physcomitrium	Physcomitrium patens		SPECIES	Physcomitrella patens (Hedw.) Bruch & Schimp.	Physcomitrella patens		SE	No locality information available		PRESENT	1	c0758a16-296b-4ec3-97fd-8a057d9060f3	56.254652	14.07914							1925-09-25	25	9	1925	2674024	8179907	PRESERVED_SPECIMEN	LD	General	1263905				CC_BY_NC_4_0		John Persson			2026-03-29T23:28:18.618Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
788508063	aab0cf80-0c64-11dd-84d1-b8a03c50a862	LD:General:1263845	Plantae	Bryophyta	Bryopsida	Funariales	Funariaceae	Physcomitrium	Physcomitrium patens		SPECIES	Physcomitrella patens (Hedw.) Bruch & Schimp.	Physcomitrella patens		SE	No locality information available		PRESENT	1	c0758a16-296b-4ec3-97fd-8a057d9060f3	56.254652	14.07914							1925-09-15	15	9	1925	2674024	8179907	PRESERVED_SPECIMEN	LD	General	1263845				CC_BY_NC_4_0		John Persson			2026-03-29T23:28:31.832Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
788508005	aab0cf80-0c64-11dd-84d1-b8a03c50a862	LD:General:1263785	Plantae	Bryophyta	Bryopsida	Funariales	Funariaceae	Physcomitrium	Physcomitrium patens		SPECIES	Physcomitrella patens (Hedw.) Bruch & Schimp.	Physcomitrella patens		SE	Bollerup	Skåne	PRESENT	1	c0758a16-296b-4ec3-97fd-8a057d9060f3	55.492511	14.047174							1928-08-18	18	8	1928	2674024	8179907	PRESERVED_SPECIMEN	LD	General	1263785				CC_BY_NC_4_0		Åke Hovgard			2026-03-29T23:28:22.886Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
788507946	aab0cf80-0c64-11dd-84d1-b8a03c50a862	LD:General:1263725	Plantae	Bryophyta	Bryopsida	Funariales	Funariaceae	Physcomitrium	Physcomitrium patens		SPECIES	Physcomitrella patens (Hedw.) Bruch & Schimp.	Physcomitrella patens		SE	Gudmuntorp	Skåne	PRESENT	1	c0758a16-296b-4ec3-97fd-8a057d9060f3	55.817887	13.483225							1872-08-20	20	8	1872	2674024	8179907	PRESERVED_SPECIMEN	LD	General	1263725				CC_BY_NC_4_0		Axel Tullberg			2026-03-29T23:28:11.366Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
788507888	aab0cf80-0c64-11dd-84d1-b8a03c50a862	LD:General:1263665	Plantae	Bryophyta	Bryopsida	Funariales	Funariaceae	Physcomitrium	Physcomitrium patens		SPECIES	Physcomitrella patens (Hedw.) Bruch & Schimp.	Physcomitrella patens		SE	Bollerup	Skåne	PRESENT	1	c0758a16-296b-4ec3-97fd-8a057d9060f3	55.492511	14.047174							1928-08-24	24	8	1928	2674024	8179907	PRESERVED_SPECIMEN	LD	General	1263665				CC_BY_NC_4_0		Åke Hovgard			2026-03-29T23:28:18.334Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
788507829	aab0cf80-0c64-11dd-84d1-b8a03c50a862	LD:General:1263605	Plantae	Bryophyta	Bryopsida	Funariales	Funariaceae	Physcomitrium	Physcomitrium patens		SPECIES	Physcomitrella patens (Hedw.) Bruch & Schimp.	Physcomitrella patens		SE	Näsby fält		PRESENT	1	c0758a16-296b-4ec3-97fd-8a057d9060f3	56.05012	14.13947							1924-08-29	29	8	1924	2674024	8179907	PRESERVED_SPECIMEN	LD	General	1263605				CC_BY_NC_4_0		Olof J. Hasslow			2026-03-29T23:28:18.787Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
768614090	e893d23b-02d5-4b38-a612-56b75da7d852	SALA:SALA-BRYO:1826-1	Plantae	Bryophyta	Bryopsida	Funariales	Funariaceae	Physcomitrium	Physcomitrium patens		SPECIES	Physcomitrella patens (Hedw.) Bruch & Schimp.	Physcomitrella patens (Hedw.) Bruch & Schimp.	(Hedw.) Bruch & Schimp.	ES	Villarreal de Álava	Vi	PRESENT		a6deb94a-2c40-47ec-a678-3d502cd42bc2	42.98	-2.68											2674024	8179907	PRESERVED_SPECIMEN	SALA	SALA-BRYO	1826-1		P. Heras & M. Infante		CC_BY_4_0		Patxi Heras & M. Infante			2026-03-03T20:06:56.461Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
