LastName	FirstName	DatasetID	Dataset	SpeciesName	AccSpeciesID	AccSpeciesName	ObservationID	ObsDataID	TraitID	TraitName	DataID	DataName	OriglName	OrigValueStr	OrigUnitStr	ValueKindName	OrigUncertaintyStr	UncertaintyName	Replicates	StdValue	UnitName	RelUncertaintyPercent	OrigObsDataID	ErrorRisk	Reference	Comment	StdValueStr	
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Discelium nudum	311121	Discelium nudum	2954567	27169256	1136	Species environmental indicator value according to Ellenberg: temperature	2244	Ellenberg indicator value: temperature	ind_T	4	dimensionless	Single				4	dimensionless			0.397232	Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646			
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Discelium nudum	311121	Discelium nudum	2954567	27169258	1132	Species environmental indicator value according to Ellenberg: moisture	2077	Ellenberg indicator value: Moisture	ind_F	7	dimensionless	Single				7	dimensionless			0.801014	Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646			
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Discelium nudum	311121	Discelium nudum	2954567	27169266	3411	Moss: plant growth form (morphological)	7235	Bryophyte: growth form: morphological	growth_form	orthotroplagiotrop											Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646	orthotrop: stems stand up vertically from the substrate; plagiotrop: shoots close to substrate, differentiation into main and lateral shoots; include thalloid bryophytes		
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Discelium nudum	311121	Discelium nudum	2954567	27169268	3413	Moss: shoot length	7237	Bryophyte: Shoot length	shoot_length	40	cm	Mean									Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646			
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Discelium nudum	311121	Discelium nudum	2954567	27169269	3414	Moss: plant life form	7238	Bryophyte: Plant life form for bryophytes	life_form	annual											Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646			
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Discelium nudum	311121	Discelium nudum	2954567	27169270	3415	Moss: life strategy according to During (1979)	7239	Bryophyte: Species life strategy according to During (1979) (1)	life_strat	annual											Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646			
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Discelium nudum	311121	Discelium nudum	2954567	27169271	3416	Moss: protonema persistence	7241	Bryophyte: Species protonema persistence (bryophytes)	protonema	with permanent protonema											Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646			
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Discelium nudum	311121	Discelium nudum	2954567	27169272	3418	Moss: potential to dominate vegetation cover	7243	Bryophyte: Species potential to dominate vegetation cover	dominants	species not dominant											Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646			
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Discelium nudum	311121	Discelium nudum	2954567	27169273	3419	Moss: arrangement of antheridia and archegonia on gametohytes	7244	Bryophyte: arrangement of antheridia and archegonia on gametohytes	dist_gamet	Monoicous											Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646			
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Discelium nudum	311121	Discelium nudum	2954567	27169274	3421	Moss: seta length	7246	Bryophyte: seta length	seta_length	0.2-2 cm											Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646			
